Time (s), Position_1, Position_2, Velocity_1, Velocity_2, Force_1, Force_2
Time (s), Position_1, Position_2, Velocity_1, Velocity_2, Force_1, Force_2
101.371841, 0.315560, 0.283375, 0.000000, -0.002015, 1.033098, -57.164734
101.373842, 0.315560, 0.283372, 0.000000, -0.002403, 0.000000, -57.164734
101.375842, 0.315560, 0.283364, 0.000000, -0.002736, 0.000000, -57.164734
101.377843, 0.315560, 0.283360, 0.000000, -0.002329, 0.000000, -57.164734
101.379844, 0.315560, 0.283353, 0.000000, -0.002323, 0.000000, -57.164734
101.381845, 0.315560, 0.283353, 0.000000, -0.002608, 0.000000, -57.164734
101.383842, 0.315560, 0.283349, 0.000000, -0.002718, 1.377463, -56.820368
101.385846, 0.315560, 0.283341, 0.000000, -0.002088, 0.000000, -56.820368
101.387846, 0.315560, 0.283338, 0.000000, -0.002085, 0.000000, -57.164734
101.389847, 0.315560, 0.283334, 0.000000, -0.001995, 0.000000, -57.164734
101.391848, 0.315560, 0.283330, 0.000000, -0.001928, 0.000000, -56.820368
101.393848, 0.315560, 0.283326, 0.000000, -0.001902, 0.000000, -57.164734
101.395849, 0.315560, 0.283322, 0.000000, -0.001908, 1.377463, -57.164734
101.397850, 0.315560, 0.283315, 0.000000, -0.001893, 1.377463, -57.164734
101.399850, 0.315560, 0.283315, 0.000000, -0.001893, 0.000000, -57.164734
101.401851, 0.315560, 0.283311, 0.000000, -0.001893, 0.000000, -57.164734
101.403851, 0.315560, 0.283307, 0.000000, -0.001893, 1.377463, -56.820368
101.405852, 0.315560, 0.283304, 0.000000, -0.001768, 0.000000, -57.164734
101.407853, 0.315560, 0.283300, 0.000000, -0.001887, 1.377463, -57.164734
101.409853, 0.315560, 0.283296, 0.000000, -0.001864, 0.000000, -57.164734
101.411854, 0.315560, 0.283292, 0.000000, -0.001773, 1.377463, -57.164734
101.413856, 0.315560, 0.283288, 0.000000, -0.001883, 0.000000, -57.164734
101.415856, 0.315560, 0.283288, 0.000000, -0.001085, 1.377463, -57.164734
101.417856, 0.315560, 0.283285, 0.000000, -0.001206, 1.377463, -57.164734
101.419857, 0.315560, 0.283281, 0.000000, -0.001427, 0.000000, -57.164734
101.421857, 0.315560, 0.283281, 0.000000, -0.001631, 0.000000, -57.164734
101.423858, 0.315564, 0.283277, 0.000935, -0.001395, 0.000000, -57.509099
101.425859, 0.315564, 0.283273, 0.000264, -0.001408, 0.000000, -56.820368
101.427860, 0.315560, 0.283273, -0.000805, -0.000949, 1.377463, -57.509099
101.429861, 0.315560, 0.283269, 0.000182, -0.000974, 1.377463, -56.820368
101.431863, 0.315564, 0.283269, 0.000500, -0.001392, 0.688732, -57.164734
