time,sys_time,session_id,pos_x,pos_y,vel_x,vel_y,fcmd_x,fcmd_y,fs_x,fs_y
1.642390,1765348498.696978,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
1.662357,1765348498.716932,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
1.682363,1765348498.736939,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
1.702412,1765348498.757007,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
1.722429,1765348498.777032,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.742436,1765348498.797035,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
1.762406,1765348498.816993,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
1.782405,1765348498.836998,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.802482,1765348498.857100,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.822487,1765348498.877107,1765348491,0.000534,0.000174,-0.000925,0.000000,0.000000,0.000000,0.000000,0.000000
1.842536,1765348498.897181,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.862538,1765348498.917174,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
1.882527,1765348498.937158,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
1.902583,1765348498.957207,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
1.922481,1765348498.977091,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.942455,1765348498.997042,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
1.962482,1765348499.017068,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
